"","ID","Loss","NB","EXPOSURE","POWER","AGECAR","AGEDRIVER","BRAND","GAZ","REGION","DENSITY"
"22",643,8461,2,0.57,"l","(4,15]","(42,74]","Japanese (except Nissan) or Korean","Regular","R11","(500,4.5e+03]"
"23",723,990,1,0.96,"f","(4,15]","(42,74]","Opel, General Motors or Ford","Regular","R72","(500,4.5e+03]"
"24",760,1129,1,0.47,"d","[0,1]","(42,74]","Japanese (except Nissan) or Korean","Regular","R72","(500,4.5e+03]"
"25",766,1107,1,0.93,"i","[0,1]","(42,74]","Japanese (except Nissan) or Korean","Regular","R11","(4.5e+03,Inf]"
"26",909,1344,1,0.26,"l","(1,4]","(26,42]","Japanese (except Nissan) or Korean","Diesel","R11","(40,200]"
"27",944,397,1,0.55,"h","(4,15]","(42,74]","Japanese (except Nissan) or Korean","Regular","R11","(4.5e+03,Inf]"
"28",948,934,2,0.66,"g","[0,1]","(42,74]","Japanese (except Nissan) or Korean","Regular","R11","(4.5e+03,Inf]"
"29",948,538,2,0.66,"g","[0,1]","(42,74]","Japanese (except Nissan) or Korean","Regular","R11","(4.5e+03,Inf]"
"30",956,508,1,0.65,"j","(4,15]","(26,42]","Japanese (except Nissan) or Korean","Diesel","R52","(40,200]"
"31",1048,1768,1,0.49,"k","[0,1]","(26,42]","Japanese (except Nissan) or Korean","Diesel","R11","(4.5e+03,Inf]"
"32",1059,584,1,0.51,"f","[0,1]","(26,42]","Japanese (except Nissan) or Korean","Regular","R24","(500,4.5e+03]"
"33",1135,1458,1,0.54,"e","[0,1]","(22,26]","Volkswagen, Audi, Skoda or Seat","Diesel","R11","(4.5e+03,Inf]"
"34",1188,31889,2,0.42,"k","[0,1]","(42,74]","Japanese (except Nissan) or Korean","Diesel","R11","(500,4.5e+03]"
"35",1188,556,2,0.42,"k","[0,1]","(42,74]","Japanese (except Nissan) or Korean","Diesel","R11","(500,4.5e+03]"
"36",1343,685,1,0.46,"f","(4,15]","(42,74]","Opel, General Motors or Ford","Diesel","R25","(500,4.5e+03]"
"37",1392,76,1,0.43,"f","(4,15]","(22,26]","Renault, Nissan or Citroen","Diesel","R72","(500,4.5e+03]"
"38",1408,2040,1,0.47,"g","(1,4]","(42,74]","Fiat","Regular","R11","(40,200]"
"39",1432,890,1,0.29,"f","[0,1]","(26,42]","Japanese (except Nissan) or Korean","Regular","R11","(4.5e+03,Inf]"
"40",1454,89,1,0.26,"e","(4,15]","(26,42]","Renault, Nissan or Citroen","Regular","R11","(500,4.5e+03]"
"41",1526,91,2,0.43,"e","(4,15]","(17,22]","Opel, General Motors or Ford","Diesel","R72","(500,4.5e+03]"
"42",1526,1153,2,0.43,"e","(4,15]","(17,22]","Opel, General Motors or Ford","Diesel","R72","(500,4.5e+03]"
"43",1603,593,1,0.21,"d","(1,4]","(26,42]","Renault, Nissan or Citroen","Regular","R31","(500,4.5e+03]"
"44",1634,74,1,0.38,"g","(1,4]","(26,42]","Renault, Nissan or Citroen","Diesel","R11","(4.5e+03,Inf]"
"45",1689,634,1,0.26,"f","(1,4]","(42,74]","Japanese (except Nissan) or Korean","Diesel","R52","(40,200]"
"46",1965,1024,1,0.19,"d","[0,1]","(42,74]","Japanese (except Nissan) or Korean","Regular","R54","(40,200]"
"47",1983,1163,1,0.14,"e","[0,1]","(42,74]","Japanese (except Nissan) or Korean","Regular","R11","(4.5e+03,Inf]"
"48",2069,363,1,0.12,"e","[0,1]","(22,26]","Japanese (except Nissan) or Korean","Regular","R54","(500,4.5e+03]"
"49",2160,6103,1,0.07,"j","(4,15]","(22,26]","Japanese (except Nissan) or Korean","Regular","R72","(40,200]"
"50",2286,1147,1,1,"h","(4,15]","(42,74]","Fiat","Diesel","R72","(200,500]"
"51",2310,93,1,0.5,"e","(1,4]","(26,42]","Renault, Nissan or Citroen","Regular","R23","(200,500]"
"52",2377,1163,1,1,"d","(4,15]","(26,42]","Renault, Nissan or Citroen","Regular","R53","(200,500]"
"53",2425,3602,1,0.68,"e","(1,4]","(42,74]","Fiat","Regular","R24","(500,4.5e+03]"
"54",2431,1159,2,0.75,"d","(4,15]","(42,74]","Opel, General Motors or Ford","Regular","R25","(500,4.5e+03]"
"55",2431,90,2,0.75,"d","(4,15]","(42,74]","Opel, General Motors or Ford","Regular","R25","(500,4.5e+03]"
"56",2439,1028,1,0.54,"g","(4,15]","(42,74]","Renault, Nissan or Citroen","Regular","R24","(200,500]"
"57",2440,1138,1,0.19,"g","(4,15]","(42,74]","Renault, Nissan or Citroen","Regular","R24","(200,500]"
"58",2458,1038,1,1,"f","(1,4]","(42,74]","Renault, Nissan or Citroen","Diesel","R24","(40,200]"
"59",2461,1152,1,1,"e","(4,15]","(42,74]","Renault, Nissan or Citroen","Regular","R53","(200,500]"
"60",2467,78,1,1,"g","(4,15]","(42,74]","Renault, Nissan or Citroen","Regular","R24","(40,200]"
"61",2501,1048,1,0.19,"g","[0,1]","(42,74]","Renault, Nissan or Citroen","Diesel","R25","(40,200]"
"62",2519,1143,1,1,"h","(4,15]","(42,74]","Volkswagen, Audi, Skoda or Seat","Regular","R24","(40,200]"
"63",2538,98,1,1,"g","(4,15]","(74,Inf]","Renault, Nissan or Citroen","Regular","R24","(200,500]"
"64",2581,1504,1,1,"d","(4,15]","(42,74]","Renault, Nissan or Citroen","Regular","R24","[0,40]"
"65",2587,808,1,1,"d","(4,15]","(74,Inf]","Fiat","Regular","R24","(200,500]"
"66",2591,1134,1,0.59,"f","[0,1]","(42,74]","Renault, Nissan or Citroen","Regular","R24","(500,4.5e+03]"
"67",2674,1119,1,0.99,"h","(4,15]","(42,74]","Renault, Nissan or Citroen","Diesel","R25","(500,4.5e+03]"
"68",2709,314,1,1,"e","[0,1]","(42,74]","Renault, Nissan or Citroen","Regular","R24","(40,200]"
"69",2752,1697,1,0.39,"f","(4,15]","(42,74]","Renault, Nissan or Citroen","Diesel","R52","[0,40]"
"70",2796,1141,1,0.5,"f","(4,15]","(42,74]","Renault, Nissan or Citroen","Diesel","R24","(40,200]"
"71",2798,491,1,1,"g","(4,15]","(74,Inf]","Renault, Nissan or Citroen","Regular","R25","(500,4.5e+03]"
"72",2812,69024,1,0.49,"f","(4,15]","(42,74]","Renault, Nissan or Citroen","Diesel","R53","(40,200]"
"73",2815,1110,1,1,"f","(4,15]","(74,Inf]","Renault, Nissan or Citroen","Regular","R54","(40,200]"
"74",2874,112,1,0.75,"d","(4,15]","(42,74]","Renault, Nissan or Citroen","Diesel","R25","(200,500]"
"75",2919,683,1,1,"e","(4,15]","(42,74]","Renault, Nissan or Citroen","Regular","R11","(500,4.5e+03]"
"76",2956,1116,1,0.67,"g","(1,4]","(42,74]","Renault, Nissan or Citroen","Regular","R24","[0,40]"
"77",2969,241,1,1,"f","(4,15]","(42,74]","Opel, General Motors or Ford","Regular","R24","(200,500]"
"78",2974,1141,1,1,"g","(4,15]","(42,74]","Renault, Nissan or Citroen","Regular","R24","(40,200]"
"79",2999,5522,1,1,"o","[0,1]","(42,74]","Mercedes, Chrysler or BMW","Regular","R24","[0,40]"
"80",3015,3742,1,0.24,"g","(15,Inf]","(42,74]","Renault, Nissan or Citroen","Regular","R24","(500,4.5e+03]"
"81",3023,24789,1,0.72,"d","(4,15]","(74,Inf]","Renault, Nissan or Citroen","Regular","R24","[0,40]"
"82",3085,2428,1,1,"j","(4,15]","(42,74]","Japanese (except Nissan) or Korean","Diesel","R24","(500,4.5e+03]"
"83",3144,61,1,0.5,"e","(4,15]","(42,74]","Renault, Nissan or Citroen","Regular","R53","(40,200]"
"84",3161,10,1,1,"g","(4,15]","(42,74]","Renault, Nissan or Citroen","Regular","R24","(500,4.5e+03]"
"85",3177,1093,1,1,"e","(4,15]","(42,74]","Opel, General Motors or Ford","Diesel","R24","(200,500]"
"86",3202,1174,1,1,"i","(4,15]","(42,74]","Renault, Nissan or Citroen","Regular","R24","(200,500]"
"87",3275,1136,2,1,"f","(4,15]","(74,Inf]","Renault, Nissan or Citroen","Regular","R54","(200,500]"
"88",3275,1132,2,1,"f","(4,15]","(74,Inf]","Renault, Nissan or Citroen","Regular","R54","(200,500]"
"89",3285,1311,1,1,"f","(1,4]","(42,74]","Renault, Nissan or Citroen","Diesel","R24","[0,40]"
"90",3298,1167,1,1,"k","(4,15]","(42,74]","Mercedes, Chrysler or BMW","Regular","R54","(40,200]"
"91",3306,394,1,0.93,"g","(4,15]","(42,74]","Renault, Nissan or Citroen","Regular","R24","(200,500]"
"92",3328,7,1,0.16,"i","(15,Inf]","(42,74]","Renault, Nissan or Citroen","Regular","R24","(200,500]"
"93",3342,1109,1,1,"e","(4,15]","(42,74]","Renault, Nissan or Citroen","Diesel","R24","(40,200]"
"94",3344,7119,1,1,"d","(1,4]","(74,Inf]","Renault, Nissan or Citroen","Regular","R24","(200,500]"
"95",3349,720,1,0.34,"f","[0,1]","(42,74]","Fiat","Regular","R24","(40,200]"
"96",3356,232,1,0.79,"g","(4,15]","(42,74]","Renault, Nissan or Citroen","Regular","R24","[0,40]"
"97",3380,66376,1,0.33,"j","(4,15]","(42,74]","Mercedes, Chrysler or BMW","Regular","R24","(40,200]"
"98",3385,778,1,1,"g","(4,15]","(42,74]","Renault, Nissan or Citroen","Regular","R24","(40,200]"
"99",3447,968,1,1,"f","(4,15]","(42,74]","Renault, Nissan or Citroen","Regular","R24","[0,40]"
"100",3494,1061,1,1,"l","(4,15]","(42,74]","Japanese (except Nissan) or Korean","Diesel","R52","[0,40]"
"101",3504,4871,2,1,"g","(1,4]","(74,Inf]","Renault, Nissan or Citroen","Regular","R24","(40,200]"
"102",3504,5972,2,1,"g","(1,4]","(74,Inf]","Renault, Nissan or Citroen","Regular","R24","(40,200]"
"103",3516,770,1,1,"e","(4,15]","(42,74]","Opel, General Motors or Ford","Diesel","R24","[0,40]"
"104",3546,1260,1,0.24,"g","[0,1]","(42,74]","other","Diesel","R24","(500,4.5e+03]"
"105",3567,2314,1,1,"f","(4,15]","(42,74]","Opel, General Motors or Ford","Regular","R53","(500,4.5e+03]"
"106",3577,1103,1,1,"f","(1,4]","(74,Inf]","Renault, Nissan or Citroen","Regular","R53","(200,500]"
"107",3592,60,1,1,"d","(4,15]","(42,74]","Renault, Nissan or Citroen","Regular","R52","(500,4.5e+03]"
"108",3616,1087,1,0.87,"f","[0,1]","(42,74]","Renault, Nissan or Citroen","Diesel","R53","(200,500]"
"109",3666,1121,1,1,"d","(4,15]","(74,Inf]","Renault, Nissan or Citroen","Diesel","R24","(40,200]"
"110",3677,1171,1,1,"g","(4,15]","(42,74]","Renault, Nissan or Citroen","Regular","R24","(40,200]"
"111",3694,676,1,1,"h","(4,15]","(42,74]","Renault, Nissan or Citroen","Regular","R53","(200,500]"
"112",3721,1117,1,0.74,"f","(1,4]","(26,42]","Renault, Nissan or Citroen","Diesel","R24","[0,40]"
"113",3737,257,1,0.98,"g","(4,15]","(42,74]","Renault, Nissan or Citroen","Diesel","R24","(40,200]"
"114",3763,1170,1,0.16,"l","(4,15]","(42,74]","Volkswagen, Audi, Skoda or Seat","Regular","R24","[0,40]"
"115",3814,1301,1,1,"e","(1,4]","(42,74]","Volkswagen, Audi, Skoda or Seat","Diesel","R24","(500,4.5e+03]"
"116",3829,537,1,0.75,"d","(4,15]","(42,74]","Renault, Nissan or Citroen","Regular","R24","(40,200]"
"117",3836,1122,1,1,"g","(4,15]","(74,Inf]","Renault, Nissan or Citroen","Regular","R24","(200,500]"
"118",3841,30673,1,1,"f","(1,4]","(42,74]","Renault, Nissan or Citroen","Diesel","R24","[0,40]"
"119",3843,1128,2,1,"e","(15,Inf]","(42,74]","Renault, Nissan or Citroen","Regular","R24","(40,200]"
"120",3843,1137,2,1,"e","(15,Inf]","(42,74]","Renault, Nissan or Citroen","Regular","R24","(40,200]"
"121",3882,1071,1,1,"g","(4,15]","(42,74]","Renault, Nissan or Citroen","Regular","R24","(40,200]"
"122",3901,4844,1,0.24,"h","(4,15]","(42,74]","Mercedes, Chrysler or BMW","Regular","R24","[0,40]"
"123",3907,195,1,1,"g","(4,15]","(42,74]","Renault, Nissan or Citroen","Diesel","R24","(40,200]"
"124",3937,513,1,1,"g","(4,15]","(74,Inf]","Renault, Nissan or Citroen","Regular","R24","[0,40]"
"125",3965,1192,1,1,"i","[0,1]","(42,74]","Renault, Nissan or Citroen","Regular","R24","(40,200]"
"126",4050,1110,1,1,"f","(4,15]","(42,74]","Volkswagen, Audi, Skoda or Seat","Diesel","R24","[0,40]"
"127",4059,389,1,1,"h","[0,1]","(42,74]","Renault, Nissan or Citroen","Diesel","R24","(40,200]"
"128",4062,1113,1,1,"g","(4,15]","(42,74]","Renault, Nissan or Citroen","Regular","R24","[0,40]"
"129",4099,796,1,1,"e","(4,15]","(42,74]","Opel, General Motors or Ford","Diesel","R11","(500,4.5e+03]"
"130",4134,2274,1,1,"k","(4,15]","(26,42]","Renault, Nissan or Citroen","Regular","R24","(40,200]"
"131",4154,2738,1,1,"g","(4,15]","(42,74]","Renault, Nissan or Citroen","Diesel","R24","(500,4.5e+03]"
"132",4160,889,1,1,"d","(15,Inf]","(42,74]","Renault, Nissan or Citroen","Regular","R24","[0,40]"
"133",4183,1164,1,1,"g","(4,15]","(42,74]","Mercedes, Chrysler or BMW","Regular","R24","(200,500]"
"134",4267,1102,1,0.52,"f","(1,4]","(42,74]","Renault, Nissan or Citroen","Diesel","R25","(40,200]"
"135",4281,1069,1,1,"h","(4,15]","(42,74]","other","Diesel","R53","(500,4.5e+03]"
"136",4286,1115,1,0.99,"k","(4,15]","(42,74]","other","Regular","R53","(40,200]"
"137",4292,1135,1,1,"f","(4,15]","(42,74]","Renault, Nissan or Citroen","Diesel","R53","(500,4.5e+03]"
"138",4336,1128,1,0.96,"d","(4,15]","(42,74]","Renault, Nissan or Citroen","Regular","R53","(200,500]"
"139",4344,3184,1,0.22,"g","(1,4]","(42,74]","Renault, Nissan or Citroen","Diesel","R52","(500,4.5e+03]"
"140",4365,1159,1,1,"e","(4,15]","(42,74]","Renault, Nissan or Citroen","Regular","R52","(500,4.5e+03]"
"141",4368,573,1,1,"g","(4,15]","(42,74]","Fiat","Diesel","R25","(40,200]"
"142",4379,750,1,1,"e","(1,4]","(42,74]","Renault, Nissan or Citroen","Regular","R52","(40,200]"
"143",4421,576,1,1,"f","(4,15]","(74,Inf]","other","Diesel","R24","(40,200]"
"144",4428,208,1,1,"f","(4,15]","(42,74]","Renault, Nissan or Citroen","Regular","R25","(40,200]"
"145",4439,1129,1,0.42,"f","(4,15]","(26,42]","Renault, Nissan or Citroen","Regular","R53","(40,200]"
"146",4444,1683,1,0.96,"d","(4,15]","(42,74]","Renault, Nissan or Citroen","Regular","R25","(40,200]"
"147",4488,10463,1,0.37,"d","(4,15]","(74,Inf]","Renault, Nissan or Citroen","Diesel","R24","(40,200]"
"148",4500,164,1,1,"f","(1,4]","(42,74]","Volkswagen, Audi, Skoda or Seat","Regular","R53","(200,500]"
"149",4531,1108,1,0.36,"e","(4,15]","(42,74]","Renault, Nissan or Citroen","Diesel","R11","(4.5e+03,Inf]"
"150",4539,1162,1,1,"f","(4,15]","(42,74]","Renault, Nissan or Citroen","Diesel","R31","(200,500]"
"151",4542,1130,1,0.52,"g","(1,4]","(42,74]","Renault, Nissan or Citroen","Diesel","R24","(40,200]"
"152",4566,1207,1,0.22,"d","(4,15]","(42,74]","Renault, Nissan or Citroen","Regular","R53","(200,500]"
"153",4609,1163,1,1,"d","(4,15]","(42,74]","Opel, General Motors or Ford","Regular","R53","(500,4.5e+03]"
"154",4623,1098,1,1,"e","(1,4]","(42,74]","Renault, Nissan or Citroen","Regular","R53","(200,500]"
"155",4634,127,1,1,"e","[0,1]","(42,74]","Volkswagen, Audi, Skoda or Seat","Regular","R11","(4.5e+03,Inf]"
"156",4665,1117,1,1,"d","(4,15]","(42,74]","Renault, Nissan or Citroen","Regular","R24","[0,40]"
"157",4682,80,1,1,"d","(4,15]","(26,42]","Opel, General Motors or Ford","Diesel","R24","[0,40]"
"158",4719,1140,1,0.39,"g","(1,4]","(42,74]","Renault, Nissan or Citroen","Diesel","R24","(40,200]"
"159",4747,1047,1,0.43,"e","(1,4]","(42,74]","Opel, General Motors or Ford","Diesel","R24","(40,200]"
"160",4760,3437,1,0.5,"g","(1,4]","(42,74]","Renault, Nissan or Citroen","Regular","R24","[0,40]"
"161",4765,387,1,1,"f","(1,4]","(74,Inf]","Renault, Nissan or Citroen","Regular","R24","(200,500]"
"162",4795,70,1,0.74,"f","[0,1]","(42,74]","Mercedes, Chrysler or BMW","Regular","R24","(200,500]"
"163",4810,1088,1,1,"f","(4,15]","(42,74]","Renault, Nissan or Citroen","Diesel","R24","[0,40]"
"164",4824,1240,1,1,"g","(4,15]","(42,74]","Renault, Nissan or Citroen","Regular","R24","[0,40]"
"165",4826,1083,1,1,"e","(1,4]","(74,Inf]","Renault, Nissan or Citroen","Regular","R24","(40,200]"
"166",4857,1059,1,1,"e","(4,15]","(42,74]","Volkswagen, Audi, Skoda or Seat","Diesel","R24","(200,500]"
"167",4874,72,1,1,"g","(4,15]","(42,74]","Renault, Nissan or Citroen","Diesel","R24","(40,200]"
"168",4891,1177,1,0.71,"g","(1,4]","(42,74]","Volkswagen, Audi, Skoda or Seat","Diesel","R24","[0,40]"
"169",4953,1256,1,1,"e","(4,15]","(42,74]","Opel, General Motors or Ford","Diesel","R24","(500,4.5e+03]"
"170",4954,1344,1,1,"f","(1,4]","(26,42]","Renault, Nissan or Citroen","Regular","R24","(200,500]"
"171",4977,1083,1,0.75,"f","(1,4]","(42,74]","Renault, Nissan or Citroen","Diesel","R52","[0,40]"
"172",4984,1922,1,0.77,"f","[0,1]","(42,74]","Renault, Nissan or Citroen","Regular","R24","(500,4.5e+03]"
"173",4986,81,1,1,"i","(4,15]","(42,74]","Mercedes, Chrysler or BMW","Diesel","R24","(200,500]"
"174",5010,2827,1,0.72,"e","[0,1]","(42,74]","Renault, Nissan or Citroen","Diesel","R24","(40,200]"
"175",5074,134,1,1,"g","(4,15]","(26,42]","Renault, Nissan or Citroen","Regular","R24","(500,4.5e+03]"
"176",5122,1123,1,1,"d","(4,15]","(42,74]","Renault, Nissan or Citroen","Regular","R53","(200,500]"
"177",5160,1173,1,1,"f","(1,4]","(26,42]","Renault, Nissan or Citroen","Diesel","R25","(500,4.5e+03]"
"178",5183,69,1,1,"e","(4,15]","(42,74]","Opel, General Motors or Ford","Regular","R53","(500,4.5e+03]"
"179",5200,3869,1,1,"h","(4,15]","(42,74]","Japanese (except Nissan) or Korean","Regular","R53","(200,500]"
"180",5206,1127,1,0.75,"g","(4,15]","(42,74]","Opel, General Motors or Ford","Regular","R53","(200,500]"
"181",5211,425,1,1,"f","(1,4]","(42,74]","Renault, Nissan or Citroen","Diesel","R53","(200,500]"
"182",5228,1074,1,1,"f","(4,15]","(42,74]","Renault, Nissan or Citroen","Regular","R53","(200,500]"
"183",5244,582,1,0.88,"e","(4,15]","(42,74]","Volkswagen, Audi, Skoda or Seat","Regular","R53","(200,500]"
"184",5272,471,1,1,"e","(4,15]","(42,74]","Renault, Nissan or Citroen","Regular","R52","(500,4.5e+03]"
"185",5284,1081,1,1,"g","(4,15]","(42,74]","Renault, Nissan or Citroen","Diesel","R25","(40,200]"
"186",5295,321,1,0.72,"f","(4,15]","(42,74]","Renault, Nissan or Citroen","Regular","R11","(4.5e+03,Inf]"
"187",5302,279,2,1,"f","(4,15]","(74,Inf]","Renault, Nissan or Citroen","Regular","R25","(500,4.5e+03]"
"188",5302,1163,2,1,"f","(4,15]","(74,Inf]","Renault, Nissan or Citroen","Regular","R25","(500,4.5e+03]"
"189",5308,91,1,0.24,"k","(4,15]","(42,74]","Renault, Nissan or Citroen","Regular","R53","(500,4.5e+03]"
"190",5319,1127,1,1,"g","(4,15]","(42,74]","Renault, Nissan or Citroen","Diesel","R53","(40,200]"
"191",5328,1113,1,1,"f","(1,4]","(42,74]","Renault, Nissan or Citroen","Diesel","R53","(40,200]"
"192",5364,64,1,1,"d","(4,15]","(42,74]","Fiat","Regular","R11","[0,40]"
"193",5411,41,1,1,"d","(4,15]","(42,74]","Fiat","Regular","R53","(200,500]"
"194",5416,1115,1,1,"e","(4,15]","(74,Inf]","Renault, Nissan or Citroen","Regular","R24","[0,40]"
"195",5434,2588,1,0.97,"f","(1,4]","(74,Inf]","Renault, Nissan or Citroen","Diesel","R24","(40,200]"
"196",5447,1147,1,0.63,"e","(4,15]","(26,42]","Opel, General Motors or Ford","Diesel","R24","(500,4.5e+03]"
"197",5459,7688,1,1,"e","[0,1]","(42,74]","Mercedes, Chrysler or BMW","Diesel","R24","(500,4.5e+03]"
"198",5461,1157,1,1,"f","(1,4]","(42,74]","Opel, General Motors or Ford","Diesel","R24","(200,500]"
"199",5464,1138,1,1,"i","(4,15]","(42,74]","other","Regular","R24","(500,4.5e+03]"
"200",5478,1180,1,0.87,"d","(1,4]","(42,74]","Renault, Nissan or Citroen","Regular","R24","[0,40]"
"201",5492,2925,1,0.41,"i","(4,15]","(26,42]","Mercedes, Chrysler or BMW","Diesel","R24","(500,4.5e+03]"
"202",5506,75,1,0.66,"g","(1,4]","(42,74]","Renault, Nissan or Citroen","Diesel","R24","(40,200]"
"203",5512,7833,1,0.7,"f","(4,15]","(42,74]","Renault, Nissan or Citroen","Diesel","R24","(500,4.5e+03]"
"204",5546,1439,1,0.26,"g","(4,15]","(26,42]","Renault, Nissan or Citroen","Regular","R24","(200,500]"
"205",5547,1097,1,0.73,"g","(15,Inf]","(26,42]","Renault, Nissan or Citroen","Regular","R24","(200,500]"
"206",5602,1150,1,1,"f","(4,15]","(42,74]","Renault, Nissan or Citroen","Regular","R11","(4.5e+03,Inf]"
"207",5609,368,1,0.16,"e","(15,Inf]","(26,42]","Renault, Nissan or Citroen","Regular","R23","[0,40]"
"208",5621,1079,1,0.42,"f","[0,1]","(42,74]","Volkswagen, Audi, Skoda or Seat","Diesel","R74","[0,40]"
"209",5660,851,1,1,"e","(1,4]","(26,42]","Opel, General Motors or Ford","Regular","R53","(40,200]"
"210",5662,423,1,1,"e","(1,4]","(26,42]","Volkswagen, Audi, Skoda or Seat","Diesel","R53","(500,4.5e+03]"
"211",5685,4886,1,0.37,"g","[0,1]","(26,42]","Renault, Nissan or Citroen","Regular","R53","[0,40]"
"212",5706,1413,1,1,"f","(4,15]","(42,74]","Volkswagen, Audi, Skoda or Seat","Diesel","R53","(500,4.5e+03]"
"213",5709,666,1,1,"f","(4,15]","(22,26]","Renault, Nissan or Citroen","Regular","R53","(500,4.5e+03]"
"214",5734,1351,1,1,"f","(1,4]","(22,26]","Volkswagen, Audi, Skoda or Seat","Regular","R53","[0,40]"
"215",5755,565,1,1,"f","(1,4]","(26,42]","Renault, Nissan or Citroen","Diesel","R53","(40,200]"
"216",5759,86,1,1,"f","(4,15]","(42,74]","Volkswagen, Audi, Skoda or Seat","Regular","R53","(40,200]"
"217",5777,2148,1,1,"e","(1,4]","(42,74]","Renault, Nissan or Citroen","Diesel","R11","(4.5e+03,Inf]"
"218",5794,1157,1,1,"f","(4,15]","(26,42]","Opel, General Motors or Ford","Regular","R53","(40,200]"
"219",5809,942,1,0.43,"e","(4,15]","(42,74]","Volkswagen, Audi, Skoda or Seat","Diesel","R53","(40,200]"
"220",5885,1441,1,1,"h","(1,4]","(42,74]","Renault, Nissan or Citroen","Diesel","R24","(40,200]"
"221",5900,1857,1,0.66,"f","[0,1]","(42,74]","Renault, Nissan or Citroen","Regular","R24","[0,40]"
"222",5924,51,1,0.97,"g","(4,15]","(42,74]","Renault, Nissan or Citroen","Diesel","R24","(40,200]"
"223",5938,1082,1,1,"g","(4,15]","(42,74]","Renault, Nissan or Citroen","Regular","R24","(40,200]"
"224",5953,7001,1,1,"k","(4,15]","(42,74]","other","Regular","R24","(200,500]"
"225",5974,1132,1,0.83,"d","[0,1]","(74,Inf]","Renault, Nissan or Citroen","Regular","R24","[0,40]"
"226",6021,61,1,1,"g","(4,15]","(42,74]","Renault, Nissan or Citroen","Regular","R24","(40,200]"
"227",6132,63,1,0.76,"e","(1,4]","(26,42]","Volkswagen, Audi, Skoda or Seat","Diesel","R53","(200,500]"
"228",6137,151,1,0.56,"j","(1,4]","(26,42]","Opel, General Motors or Ford","Diesel","R24","(500,4.5e+03]"
"229",6218,696,1,1,"e","(1,4]","(42,74]","Renault, Nissan or Citroen","Regular","R24","(40,200]"
"230",6225,351,1,0.31,"f","(4,15]","(42,74]","Renault, Nissan or Citroen","Diesel","R24","[0,40]"
"231",6246,1084,2,1,"f","(4,15]","(22,26]","Renault, Nissan or Citroen","Diesel","R24","(40,200]"
"232",6246,1131,2,1,"f","(4,15]","(22,26]","Renault, Nissan or Citroen","Diesel","R24","(40,200]"
"233",6271,26929,1,0.09,"f","(4,15]","(26,42]","Fiat","Regular","R24","(40,200]"
"234",6286,1082,1,1,"h","(4,15]","(42,74]","Renault, Nissan or Citroen","Diesel","R24","(40,200]"
